IliadLine, Omega1.12Folio
urn:cts:greekLit:tlg0012.tlg001.e4:1.4,urn:cite2:hmt:e4.v1:7r
urn:cts:greekLit:tlg0012.tlg001.e4:1.102,urn:cite2:hmt:e4.v1:8r
urn:cts:greekLit:tlg0012.tlg001.e4:2.110,urn:cite2:hmt:e4.v1:16r
urn:cts:greekLit:tlg0012.tlg001.e4:2.256,urn:cite2:hmt:e4.v1:18r
urn:cts:greekLit:tlg0012.tlg001.e4:2.483,urn:cite2:hmt:e4.v1:21r
urn:cts:greekLit:tlg0012.tlg001.e4:2.579,urn:cite2:hmt:e4.v1:23r
urn:cts:greekLit:tlg0012.tlg001.e4:2.708,urn:cite2:hmt:e4.v1:24v
urn:cts:greekLit:tlg0012.tlg001.e4:2.844,urn:cite2:hmt:e4.v1:26v
urn:cts:greekLit:tlg0012.tlg001.e4:3.377,urn:cite2:hmt:e4.v1:31v
urn:cts:greekLit:tlg0012.tlg001.e4:4.200,urn:cite2:hmt:e4.v1:35v
urn:cts:greekLit:tlg0012.tlg001.e4:5.308,urn:cite2:hmt:e4.v1:43v
urn:cts:greekLit:tlg0012.tlg001.e4:5.327,urn:cite2:hmt:e4.v1:44r
urn:cts:greekLit:tlg0012.tlg001.e4:5.747,urn:cite2:hmt:e4.v1:49v
urn:cts:greekLit:tlg0012.tlg001.e4:6.35,urn:cite2:hmt:e4.v1:52r
urn:cts:greekLit:tlg0012.tlg001.e4:6.61,urn:cite2:hmt:e4.v1:52v
urn:cts:greekLit:tlg0012.tlg001.e4:6.63,urn:cite2:hmt:e4.v1:52v
urn:cts:greekLit:tlg0012.tlg001.e4:6.67,urn:cite2:hmt:e4.v1:52v
urn:cts:greekLit:tlg0012.tlg001.e4:7.120,urn:cite2:hmt:e4.v1:60v
urn:cts:greekLit:tlg0012.tlg001.e4:7.322,urn:cite2:hmt:e4.v1:63r
urn:cts:greekLit:tlg0012.tlg001.e4:7.453,urn:cite2:hmt:e4.v1:64v
urn:cts:greekLit:tlg0012.tlg001.e4:8.268,urn:cite2:hmt:e4.v1:70r
urn:cts:greekLit:tlg0012.tlg001.e4:8.391,urn:cite2:hmt:e4.v1:71v
urn:cts:greekLit:tlg0012.tlg001.e4:9.525,urn:cite2:hmt:e4.v1:81v
urn:cts:greekLit:tlg0012.tlg001.e4:9.613,urn:cite2:hmt:e4.v1:82v
urn:cts:greekLit:tlg0012.tlg001.e4:10.154,urn:cite2:hmt:e4.v1:86v
urn:cts:greekLit:tlg0012.tlg001.e4:10.179,urn:cite2:hmt:e4.v1:87r
urn:cts:greekLit:tlg0012.tlg001.e4:10.416,urn:cite2:hmt:e4.v1:90r
urn:cts:greekLit:tlg0012.tlg001.e4:11.339,urn:cite2:hmt:e4.v1:97r
urn:cts:greekLit:tlg0012.tlg001.e4:11.483,urn:cite2:hmt:e4.v1:99r
urn:cts:greekLit:tlg0012.tlg001.e4:11.771,urn:cite2:hmt:e4.v1:102v
urn:cts:greekLit:tlg0012.tlg001.e4:11.819,urn:cite2:hmt:e4.v1:103r
